"","county","office","district","party","candidate","votes"
"1","Burt","President",1,"REP","Donald J. Trump",2367
"2","Burt","President",1,"DEM","Hillary Clinton",930
"3","Burt","President",1,"LIB","Gary Johnson",197
"4","Burt","President",1,"PET","Jill Stein",39
"5","Burt","President",1,"Write In","Write-ins",25
"6","Butler","President",1,"REP","Donald J. Trump",3079
"7","Butler","President",1,"DEM","Hillary Clinton",691
"8","Butler","President",1,"LIB","Gary Johnson",129
"9","Butler","President",1,"PET","Jill Stein",27
"10","Butler","President",1,"Write In","Write-ins",55
"11","Cass","President",1,"REP","Donald J. Trump",8452
"12","Cass","President",1,"DEM","Hillary Clinton",3484
"13","Cass","President",1,"LIB","Gary Johnson",639
"14","Cass","President",1,"PET","Jill Stein",132
"15","Cass","President",1,"Write In","Write-ins",226
"16","Colfax","President",1,"REP","Donald J. Trump",2171
"17","Colfax","President",1,"DEM","Hillary Clinton",859
"18","Colfax","President",1,"LIB","Gary Johnson",118
"19","Colfax","President",1,"PET","Jill Stein",26
"20","Colfax","President",1,"Write In","Write-ins",40
"21","Cuming","President",1,"REP","Donald J. Trump",3122
"22","Cuming","President",1,"DEM","Hillary Clinton",719
"23","Cuming","President",1,"LIB","Gary Johnson",157
"24","Cuming","President",1,"PET","Jill Stein",26
"25","Cuming","President",1,"Write In","Write-ins",50
"26","Dixon","President",1,"REP","Donald J. Trump",130
"27","Dixon","President",1,"DEM","Hillary Clinton",54
"28","Dixon","President",1,"LIB","Gary Johnson",15
"29","Dixon","President",1,"PET","Jill Stein",1
"30","Dixon","President",1,"Write In","Write-ins",0
"31","Dodge","President",1,"REP","Donald J. Trump",9933
"32","Dodge","President",1,"DEM","Hillary Clinton",4544
"33","Dodge","President",1,"LIB","Gary Johnson",624
"34","Dodge","President",1,"PET","Jill Stein",162
"35","Dodge","President",1,"Write In","Write-ins",266
"36","Lancaster","President",1,"REP","Donald J. Trump",61588
"37","Lancaster","President",1,"DEM","Hillary Clinton",61898
"38","Lancaster","President",1,"LIB","Gary Johnson",7109
"39","Lancaster","President",1,"PET","Jill Stein",1974
"40","Lancaster","President",1,"Write In","Write-ins",3654
"41","Madison","President",1,"REP","Donald J. Trump",10628
"42","Madison","President",1,"DEM","Hillary Clinton",2711
"43","Madison","President",1,"LIB","Gary Johnson",669
"44","Madison","President",1,"PET","Jill Stein",126
"45","Madison","President",1,"Write In","Write-ins",209
"46","Otoe","President",1,"REP","Donald J. Trump",4860
"47","Otoe","President",1,"DEM","Hillary Clinton",2025
"48","Otoe","President",1,"LIB","Gary Johnson",375
"49","Otoe","President",1,"PET","Jill Stein",58
"50","Otoe","President",1,"Write In","Write-ins",139
"51","Platte","President",1,"REP","Donald J. Trump",10965
"52","Platte","President",1,"DEM","Hillary Clinton",2646
"53","Platte","President",1,"LIB","Gary Johnson",495
"54","Platte","President",1,"PET","Jill Stein",86
"55","Platte","President",1,"Write In","Write-ins",241
"56","Polk","President",1,"REP","Donald J. Trump",2028
"57","Polk","President",1,"DEM","Hillary Clinton",413
"58","Polk","President",1,"LIB","Gary Johnson",102
"59","Polk","President",1,"PET","Jill Stein",6
"60","Polk","President",1,"Write In","Write-ins",33
"61","Sarpy","President",1,"REP","Donald J. Trump",15656
"62","Sarpy","President",1,"DEM","Hillary Clinton",10801
"63","Sarpy","President",1,"LIB","Gary Johnson",1839
"64","Sarpy","President",1,"PET","Jill Stein",371
"65","Sarpy","President",1,"Write In","Write-ins",666
"66","Saunders","President",1,"REP","Donald J. Trump",7555
"67","Saunders","President",1,"DEM","Hillary Clinton",2523
"68","Saunders","President",1,"LIB","Gary Johnson",515
"69","Saunders","President",1,"PET","Jill Stein",97
"70","Saunders","President",1,"Write In","Write-ins",170
"71","Seward","President",1,"REP","Donald J. Trump",5454
"72","Seward","President",1,"DEM","Hillary Clinton",1875
"73","Seward","President",1,"LIB","Gary Johnson",337
"74","Seward","President",1,"PET","Jill Stein",84
"75","Seward","President",1,"Write In","Write-ins",172
"76","Stanton","President",1,"REP","Donald J. Trump",2187
"77","Stanton","President",1,"DEM","Hillary Clinton",417
"78","Stanton","President",1,"LIB","Gary Johnson",144
"79","Stanton","President",1,"PET","Jill Stein",14
"80","Stanton","President",1,"Write In","Write-ins",39
"81","Thurston","President",1,"REP","Donald J. Trump",1043
"82","Thurston","President",1,"DEM","Hillary Clinton",919
"83","Thurston","President",1,"LIB","Gary Johnson",56
"84","Thurston","President",1,"PET","Jill Stein",49
"85","Thurston","President",1,"Write In","Write-ins",21
"86","Washington","President",1,"REP","Donald J. Trump",7424
"87","Washington","President",1,"DEM","Hillary Clinton",2623
"88","Washington","President",1,"LIB","Gary Johnson",513
"89","Washington","President",1,"PET","Jill Stein",97
"90","Washington","President",1,"Write In","Write-ins",175
"91","Douglas","President",2,"REP","Donald J. Trump",108077
"92","Douglas","President",2,"DEM","Hillary Clinton",113798
"93","Douglas","President",2,"LIB","Gary Johnson",10402
"94","Douglas","President",2,"PET","Jill Stein",2882
"95","Douglas","President",2,"Write In","Write-ins",5274
"96","Sarpy","President",2,"REP","Donald J. Trump",29487
"97","Sarpy","President",2,"DEM","Hillary Clinton",17232
"98","Sarpy","President",2,"LIB","Gary Johnson",2843
"99","Sarpy","President",2,"PET","Jill Stein",465
"100","Sarpy","President",2,"Write In","Write-ins",1220
"101","Adams","President",3,"REP","Donald J. Trump",9287
"102","Adams","President",3,"DEM","Hillary Clinton",3302
"103","Adams","President",3,"LIB","Gary Johnson",594
"104","Adams","President",3,"PET","Jill Stein",111
"105","Adams","President",3,"Write In","Write-ins",219
"106","Antelope","President",3,"REP","Donald J. Trump",2732
"107","Antelope","President",3,"DEM","Hillary Clinton",383
"108","Antelope","President",3,"LIB","Gary Johnson",105
"109","Antelope","President",3,"PET","Jill Stein",19
"110","Antelope","President",3,"Write In","Write-ins",42
"111","Arthur","President",3,"REP","Donald J. Trump",244
"112","Arthur","President",3,"DEM","Hillary Clinton",17
"113","Arthur","President",3,"LIB","Gary Johnson",11
"114","Arthur","President",3,"PET","Jill Stein",0
"115","Arthur","President",3,"Write In","Write-ins",1
"116","Banner","President",3,"REP","Donald J. Trump",357
"117","Banner","President",3,"DEM","Hillary Clinton",19
"118","Banner","President",3,"LIB","Gary Johnson",14
"119","Banner","President",3,"PET","Jill Stein",3
"120","Banner","President",3,"Write In","Write-ins",9
"121","Blaine","President",3,"REP","Donald J. Trump",276
"122","Blaine","President",3,"DEM","Hillary Clinton",30
"123","Blaine","President",3,"LIB","Gary Johnson",10
"124","Blaine","President",3,"PET","Jill Stein",0
"125","Blaine","President",3,"Write In","Write-ins",1
"126","Boone","President",3,"REP","Donald J. Trump",2299
"127","Boone","President",3,"DEM","Hillary Clinton",414
"128","Boone","President",3,"LIB","Gary Johnson",137
"129","Boone","President",3,"PET","Jill Stein",17
"130","Boone","President",3,"Write In","Write-ins",38
"131","Box Butte","President",3,"REP","Donald J. Trump",3617
"132","Box Butte","President",3,"DEM","Hillary Clinton",965
"133","Box Butte","President",3,"LIB","Gary Johnson",230
"134","Box Butte","President",3,"PET","Jill Stein",36
"135","Box Butte","President",3,"Write In","Write-ins",76
"136","Boyd","President",3,"REP","Donald J. Trump",983
"137","Boyd","President",3,"DEM","Hillary Clinton",128
"138","Boyd","President",3,"LIB","Gary Johnson",23
"139","Boyd","President",3,"PET","Jill Stein",13
"140","Boyd","President",3,"Write In","Write-ins",9
"141","Brown","President",3,"REP","Donald J. Trump",1385
"142","Brown","President",3,"DEM","Hillary Clinton",153
"143","Brown","President",3,"LIB","Gary Johnson",39
"144","Brown","President",3,"PET","Jill Stein",7
"145","Brown","President",3,"Write In","Write-ins",13
"146","Buffalo","President",3,"REP","Donald J. Trump",14569
"147","Buffalo","President",3,"DEM","Hillary Clinton",4763
"148","Buffalo","President",3,"LIB","Gary Johnson",1174
"149","Buffalo","President",3,"PET","Jill Stein",227
"150","Buffalo","President",3,"Write In","Write-ins",396
"151","Cedar","President",3,"REP","Donald J. Trump",3532
"152","Cedar","President",3,"DEM","Hillary Clinton",571
"153","Cedar","President",3,"LIB","Gary Johnson",224
"154","Cedar","President",3,"PET","Jill Stein",31
"155","Cedar","President",3,"Write In","Write-ins",62
"156","Chase","President",3,"REP","Donald J. Trump",1648
"157","Chase","President",3,"DEM","Hillary Clinton",171
"158","Chase","President",3,"LIB","Gary Johnson",54
"159","Chase","President",3,"PET","Jill Stein",6
"160","Chase","President",3,"Write In","Write-ins",19
"161","Cherry","President",3,"REP","Donald J. Trump",2623
"162","Cherry","President",3,"DEM","Hillary Clinton",317
"163","Cherry","President",3,"LIB","Gary Johnson",127
"164","Cherry","President",3,"PET","Jill Stein",15
"165","Cherry","President",3,"Write In","Write-ins",36
"166","Cheyenne","President",3,"REP","Donald J. Trump",3665
"167","Cheyenne","President",3,"DEM","Hillary Clinton",711
"168","Cheyenne","President",3,"LIB","Gary Johnson",213
"169","Cheyenne","President",3,"PET","Jill Stein",46
"170","Cheyenne","President",3,"Write In","Write-ins",76
"171","Clay","President",3,"REP","Donald J. Trump",2422
"172","Clay","President",3,"DEM","Hillary Clinton",477
"173","Clay","President",3,"LIB","Gary Johnson",116
"174","Clay","President",3,"PET","Jill Stein",15
"175","Clay","President",3,"Write In","Write-ins",35
"176","Custer","President",3,"REP","Donald J. Trump",4695
"177","Custer","President",3,"DEM","Hillary Clinton",641
"178","Custer","President",3,"LIB","Gary Johnson",206
"179","Custer","President",3,"PET","Jill Stein",37
"180","Custer","President",3,"Write In","Write-ins",73
"181","Dakota","President",3,"REP","Donald J. Trump",3616
"182","Dakota","President",3,"DEM","Hillary Clinton",2314
"183","Dakota","President",3,"LIB","Gary Johnson",229
"184","Dakota","President",3,"PET","Jill Stein",50
"185","Dakota","President",3,"Write In","Write-ins",70
"186","Dawes","President",3,"REP","Donald J. Trump",2632
"187","Dawes","President",3,"DEM","Hillary Clinton",801
"188","Dawes","President",3,"LIB","Gary Johnson",191
"189","Dawes","President",3,"PET","Jill Stein",52
"190","Dawes","President",3,"Write In","Write-ins",75
"191","Dawson","President",3,"REP","Donald J. Trump",5984
"192","Dawson","President",3,"DEM","Hillary Clinton",2136
"193","Dawson","President",3,"LIB","Gary Johnson",381
"194","Dawson","President",3,"PET","Jill Stein",58
"195","Dawson","President",3,"Write In","Write-ins",76
"196","Deuel","President",3,"REP","Donald J. Trump",809
"197","Deuel","President",3,"DEM","Hillary Clinton",120
"198","Deuel","President",3,"LIB","Gary Johnson",47
"199","Deuel","President",3,"PET","Jill Stein",1
"200","Deuel","President",3,"Write In","Write-ins",7
"201","Dixon","President",3,"REP","Donald J. Trump",1911
"202","Dixon","President",3,"DEM","Hillary Clinton",502
"203","Dixon","President",3,"LIB","Gary Johnson",115
"204","Dixon","President",3,"PET","Jill Stein",17
"205","Dixon","President",3,"Write In","Write-ins",38
"206","Dundy","President",3,"REP","Donald J. Trump",823
"207","Dundy","President",3,"DEM","Hillary Clinton",89
"208","Dundy","President",3,"LIB","Gary Johnson",31
"209","Dundy","President",3,"PET","Jill Stein",6
"210","Dundy","President",3,"Write In","Write-ins",4
"211","Fillmore","President",3,"REP","Donald J. Trump",2130
"212","Fillmore","President",3,"DEM","Hillary Clinton",613
"213","Fillmore","President",3,"LIB","Gary Johnson",151
"214","Fillmore","President",3,"PET","Jill Stein",21
"215","Fillmore","President",3,"Write In","Write-ins",26
"216","Franklin","President",3,"REP","Donald J. Trump",1347
"217","Franklin","President",3,"DEM","Hillary Clinton",250
"218","Franklin","President",3,"LIB","Gary Johnson",54
"219","Franklin","President",3,"PET","Jill Stein",7
"220","Franklin","President",3,"Write In","Write-ins",15
"221","Frontier","President",3,"REP","Donald J. Trump",1110
"222","Frontier","President",3,"DEM","Hillary Clinton",161
"223","Frontier","President",3,"LIB","Gary Johnson",36
"224","Frontier","President",3,"PET","Jill Stein",8
"225","Frontier","President",3,"Write In","Write-ins",13
"226","Furnas","President",3,"REP","Donald J. Trump",1921
"227","Furnas","President",3,"DEM","Hillary Clinton",304
"228","Furnas","President",3,"LIB","Gary Johnson",85
"229","Furnas","President",3,"PET","Jill Stein",11
"230","Furnas","President",3,"Write In","Write-ins",19
"231","Gage","President",3,"REP","Donald J. Trump",6380
"232","Gage","President",3,"DEM","Hillary Clinton",2935
"233","Gage","President",3,"LIB","Gary Johnson",492
"234","Gage","President",3,"PET","Jill Stein",104
"235","Gage","President",3,"Write In","Write-ins",137
"236","Garden","President",3,"REP","Donald J. Trump",869
"237","Garden","President",3,"DEM","Hillary Clinton",153
"238","Garden","President",3,"LIB","Gary Johnson",39
"239","Garden","President",3,"PET","Jill Stein",2
"240","Garden","President",3,"Write In","Write-ins",12
"241","Garfield","President",3,"REP","Donald J. Trump",821
"242","Garfield","President",3,"DEM","Hillary Clinton",121
"243","Garfield","President",3,"LIB","Gary Johnson",23
"244","Garfield","President",3,"PET","Jill Stein",5
"245","Garfield","President",3,"Write In","Write-ins",10
"246","Gosper","President",3,"REP","Donald J. Trump",794
"247","Gosper","President",3,"DEM","Hillary Clinton",166
"248","Gosper","President",3,"LIB","Gary Johnson",38
"249","Gosper","President",3,"PET","Jill Stein",6
"250","Gosper","President",3,"Write In","Write-ins",6
"251","Grant","President",3,"REP","Donald J. Trump",367
"252","Grant","President",3,"DEM","Hillary Clinton",20
"253","Grant","President",3,"LIB","Gary Johnson",6
"254","Grant","President",3,"PET","Jill Stein",1
"255","Grant","President",3,"Write In","Write-ins",11
"256","Greeley","President",3,"REP","Donald J. Trump",912
"257","Greeley","President",3,"DEM","Hillary Clinton",210
"258","Greeley","President",3,"LIB","Gary Johnson",38
"259","Greeley","President",3,"PET","Jill Stein",6
"260","Greeley","President",3,"Write In","Write-ins",9
"261","Hall","President",3,"REP","Donald J. Trump",14408
"262","Hall","President",3,"DEM","Hillary Clinton",6282
"263","Hall","President",3,"LIB","Gary Johnson",895
"264","Hall","President",3,"PET","Jill Stein",192
"265","Hall","President",3,"Write In","Write-ins",283
"266","Hamilton","President",3,"REP","Donald J. Trump",3783
"267","Hamilton","President",3,"DEM","Hillary Clinton",878
"268","Hamilton","President",3,"LIB","Gary Johnson",224
"269","Hamilton","President",3,"PET","Jill Stein",43
"270","Hamilton","President",3,"Write In","Write-ins",76
"271","Harlan","President",3,"REP","Donald J. Trump",1496
"272","Harlan","President",3,"DEM","Hillary Clinton",254
"273","Harlan","President",3,"LIB","Gary Johnson",62
"274","Harlan","President",3,"PET","Jill Stein",7
"275","Harlan","President",3,"Write In","Write-ins",13
"276","Hayes","President",3,"REP","Donald J. Trump",472
"277","Hayes","President",3,"DEM","Hillary Clinton",30
"278","Hayes","President",3,"LIB","Gary Johnson",8
"279","Hayes","President",3,"PET","Jill Stein",1
"280","Hayes","President",3,"Write In","Write-ins",3
"281","Hitchcock","President",3,"REP","Donald J. Trump",1232
"282","Hitchcock","President",3,"DEM","Hillary Clinton",161
"283","Hitchcock","President",3,"LIB","Gary Johnson",61
"284","Hitchcock","President",3,"PET","Jill Stein",7
"285","Hitchcock","President",3,"Write In","Write-ins",7
"286","Holt","President",3,"REP","Donald J. Trump",4354
"287","Holt","President",3,"DEM","Hillary Clinton",531
"288","Holt","President",3,"LIB","Gary Johnson",162
"289","Holt","President",3,"PET","Jill Stein",27
"290","Holt","President",3,"Write In","Write-ins",44
"291","Hooker","President",3,"REP","Donald J. Trump",355
"292","Hooker","President",3,"DEM","Hillary Clinton",40
"293","Hooker","President",3,"LIB","Gary Johnson",16
"294","Hooker","President",3,"PET","Jill Stein",3
"295","Hooker","President",3,"Write In","Write-ins",3
"296","Howard","President",3,"REP","Donald J. Trump",2284
"297","Howard","President",3,"DEM","Hillary Clinton",544
"298","Howard","President",3,"LIB","Gary Johnson",108
"299","Howard","President",3,"PET","Jill Stein",22
"300","Howard","President",3,"Write In","Write-ins",36
"301","Jefferson","President",3,"REP","Donald J. Trump",2399
"302","Jefferson","President",3,"DEM","Hillary Clinton",837
"303","Jefferson","President",3,"LIB","Gary Johnson",182
"304","Jefferson","President",3,"PET","Jill Stein",30
"305","Jefferson","President",3,"Write In","Write-ins",46
"306","Johnson","President",3,"REP","Donald J. Trump",1355
"307","Johnson","President",3,"DEM","Hillary Clinton",563
"308","Johnson","President",3,"LIB","Gary Johnson",122
"309","Johnson","President",3,"PET","Jill Stein",22
"310","Johnson","President",3,"Write In","Write-ins",27
"311","Kearney","President",3,"REP","Donald J. Trump",2531
"312","Kearney","President",3,"DEM","Hillary Clinton",550
"313","Kearney","President",3,"LIB","Gary Johnson",148
"314","Kearney","President",3,"PET","Jill Stein",26
"315","Kearney","President",3,"Write In","Write-ins",41
"316","Keith","President",3,"REP","Donald J. Trump",3235
"317","Keith","President",3,"DEM","Hillary Clinton",571
"318","Keith","President",3,"LIB","Gary Johnson",164
"319","Keith","President",3,"PET","Jill Stein",25
"320","Keith","President",3,"Write In","Write-ins",39
"321","Keya Paha","President",3,"REP","Donald J. Trump",460
"322","Keya Paha","President",3,"DEM","Hillary Clinton",40
"323","Keya Paha","President",3,"LIB","Gary Johnson",17
"324","Keya Paha","President",3,"PET","Jill Stein",0
"325","Keya Paha","President",3,"Write In","Write-ins",2
"326","Kimball","President",3,"REP","Donald J. Trump",1330
"327","Kimball","President",3,"DEM","Hillary Clinton",230
"328","Kimball","President",3,"LIB","Gary Johnson",78
"329","Kimball","President",3,"PET","Jill Stein",18
"330","Kimball","President",3,"Write In","Write-ins",21
"331","Knox","President",3,"REP","Donald J. Trump",3188
"332","Knox","President",3,"DEM","Hillary Clinton",720
"333","Knox","President",3,"LIB","Gary Johnson",137
"334","Knox","President",3,"PET","Jill Stein",29
"335","Knox","President",3,"Write In","Write-ins",41
"336","Lincoln","President",3,"REP","Donald J. Trump",12164
"337","Lincoln","President",3,"DEM","Hillary Clinton",2913
"338","Lincoln","President",3,"LIB","Gary Johnson",711
"339","Lincoln","President",3,"PET","Jill Stein",107
"340","Lincoln","President",3,"Write In","Write-ins",236
"341","Logan","President",3,"REP","Donald J. Trump",400
"342","Logan","President",3,"DEM","Hillary Clinton",32
"343","Logan","President",3,"LIB","Gary Johnson",18
"344","Logan","President",3,"PET","Jill Stein",1
"345","Logan","President",3,"Write In","Write-ins",2
"346","Loup","President",3,"REP","Donald J. Trump",323
"347","Loup","President",3,"DEM","Hillary Clinton",48
"348","Loup","President",3,"LIB","Gary Johnson",10
"349","Loup","President",3,"PET","Jill Stein",1
"350","Loup","President",3,"Write In","Write-ins",3
"351","McPherson","President",3,"REP","Donald J. Trump",257
"352","McPherson","President",3,"DEM","Hillary Clinton",14
"353","McPherson","President",3,"LIB","Gary Johnson",14
"354","McPherson","President",3,"PET","Jill Stein",1
"355","McPherson","President",3,"Write In","Write-ins",1
"356","Merrick","President",3,"REP","Donald J. Trump",2926
"357","Merrick","President",3,"DEM","Hillary Clinton",602
"358","Merrick","President",3,"LIB","Gary Johnson",165
"359","Merrick","President",3,"PET","Jill Stein",29
"360","Merrick","President",3,"Write In","Write-ins",66
