county,precinct,office,district,party,candidate,votes,provisional,provisional_counted
Johnson,Total,Registered Voters,,,,2794,,
Johnson,Nemaha I,Registered Voters,,,,443,,
Johnson,Nemaha II,Registered Voters,,,,905,,
Johnson,Sterling,Registered Voters,,,,759,,
Johnson,Spring Creek,Registered Voters,,,,344,,
Johnson,Todd Creek,Registered Voters,,,,212,,
Johnson,Western,Registered Voters,,,,131,,
Johnson,Total,Ballots Cast,,,,2115,15,11
Johnson,Early,Ballots Cast,,,,269,,
Johnson,Nemaha I,Ballots Cast,,,,266,4,3
Johnson,Nemaha II,Ballots Cast,,,,574,5,5
Johnson,Sterling,Ballots Cast,,,,528,4,1
Johnson,Spring Creek,Ballots Cast,,,,244,2,2
Johnson,Todd Creek,Ballots Cast,,,,148,0,0
Johnson,Western,Ballots Cast,,,,86,0,0
Johnson,Total,President,,Republican,Donald J. Trump,1355,,
Johnson,Early,President,,Republican,Donald J. Trump,149,,
Johnson,Nemaha I,President,,Republican,Donald J. Trump,174,,
Johnson,Nemaha II,President,,Republican,Donald J. Trump,351,,
Johnson,Sterling,President,,Republican,Donald J. Trump,340,,
Johnson,Spring Creek,President,,Republican,Donald J. Trump,167,,
Johnson,Todd Creek,President,,Republican,Donald J. Trump,112,,
Johnson,Western,President,,Republican,Donald J. Trump,62,,
Johnson,Total,President,,Democratic,Hillary Clinton,563,,
Johnson,Early,President,,Democratic,Hillary Clinton,95,,
Johnson,Nemaha I,President,,Democratic,Hillary Clinton,68,,
Johnson,Nemaha II,President,,Democratic,Hillary Clinton,167,,
Johnson,Sterling,President,,Democratic,Hillary Clinton,129,,
Johnson,Spring Creek,President,,Democratic,Hillary Clinton,51,,
Johnson,Todd Creek,President,,Democratic,Hillary Clinton,33,,
Johnson,Western,President,,Democratic,Hillary Clinton,20,,
Johnson,Total,President,,Libertarian,Gary Johnson,122,,
Johnson,Early,President,,Libertarian,Gary Johnson,19,,
Johnson,Nemaha I,President,,Libertarian,Gary Johnson,13,,
Johnson,Nemaha II,President,,Libertarian,Gary Johnson,25,,
Johnson,Sterling,President,,Libertarian,Gary Johnson,38,,
Johnson,Spring Creek,President,,Libertarian,Gary Johnson,23,,
Johnson,Todd Creek,President,,Libertarian,Gary Johnson,2,,
Johnson,Western,President,,Libertarian,Gary Johnson,2,,
Johnson,Total,President,,,Jill Stein,22,,
Johnson,Early,President,,,Jill Stein,3,,
Johnson,Nemaha I,President,,,Jill Stein,4,,
Johnson,Nemaha II,President,,,Jill Stein,7,,
Johnson,Sterling,President,,,Jill Stein,6,,
Johnson,Spring Creek,President,,,Jill Stein,1,,
Johnson,Todd Creek,President,,,Jill Stein,0,,
Johnson,Western,President,,,Jill Stein,1,,
Johnson,Total,President,,,Write-ins,27,,
Johnson,Early,President,,,Write-ins,6,,
Johnson,Nemaha I,President,,,Write-ins,2,,
Johnson,Nemaha II,President,,,Write-ins,10,,
Johnson,Sterling,President,,,Write-ins,6,,
Johnson,Spring Creek,President,,,Write-ins,2,,
Johnson,Todd Creek,President,,,Write-ins,0,,
Johnson,Western,President,,,Write-ins,1,,
Johnson,Total,President,,,Over Votes,3,,
Johnson,Early,President,,,Over Votes,1,,
Johnson,Nemaha I,President,,,Over Votes,1,,
Johnson,Nemaha II,President,,,Over Votes,1,,
Johnson,Sterling,President,,,Over Votes,0,,
Johnson,Spring Creek,President,,,Over Votes,0,,
Johnson,Todd Creek,President,,,Over Votes,0,,
Johnson,Western,President,,,Over Votes,0,,
Johnson,Total,President,,,Under Votes,34,,
Johnson,Early,President,,,Under Votes,7,,
Johnson,Nemaha I,President,,,Under Votes,4,,
Johnson,Nemaha II,President,,,Under Votes,13,,
Johnson,Sterling,President,,,Under Votes,9,,
Johnson,Spring Creek,President,,,Under Votes,0,,
Johnson,Todd Creek,President,,,Under Votes,1,,
Johnson,Western,President,,,Under Votes,0,,
Johnson,Total,U.S. House,3,Republican,Adrian Smith,1627,,
Johnson,Early,U.S. House,3,Republican,Adrian Smith,184,,
Johnson,Nemaha I,U.S. House,3,Republican,Adrian Smith,194,,
Johnson,Nemaha II,U.S. House,3,Republican,Adrian Smith,456,,
Johnson,Sterling,U.S. House,3,Republican,Adrian Smith,407,,
Johnson,Spring Creek,U.S. House,3,Republican,Adrian Smith,198,,
Johnson,Todd Creek,U.S. House,3,Republican,Adrian Smith,122,,
Johnson,Western,U.S. House,3,Republican,Adrian Smith,66,,
Johnson,Total,U.S. House,3,,Write-ins,38,,
Johnson,Early,U.S. House,3,,Write-ins,11,,
Johnson,Nemaha I,U.S. House,3,,Write-ins,5,,
Johnson,Nemaha II,U.S. House,3,,Write-ins,11,,
Johnson,Sterling,U.S. House,3,,Write-ins,6,,
Johnson,Spring Creek,U.S. House,3,,Write-ins,4,,
Johnson,Todd Creek,U.S. House,3,,Write-ins,1,,
Johnson,Western,U.S. House,3,,Write-ins,0,,
Johnson,Total,U.S. House,3,,Over Votes,0,,
Johnson,Early,U.S. House,3,,Over Votes,0,,
Johnson,Nemaha I,U.S. House,3,,Over Votes,0,,
Johnson,Nemaha II,U.S. House,3,,Over Votes,0,,
Johnson,Sterling,U.S. House,3,,Over Votes,0,,
Johnson,Spring Creek,U.S. House,3,,Over Votes,0,,
Johnson,Todd Creek,U.S. House,3,,Over Votes,0,,
Johnson,Western,U.S. House,3,,Over Votes,0,,
Johnson,Total,U.S. House,3,,Under Votes,461,,
Johnson,Early,U.S. House,3,,Under Votes,85,,
Johnson,Nemaha I,U.S. House,3,,Under Votes,67,,
Johnson,Nemaha II,U.S. House,3,,Under Votes,107,,
Johnson,Sterling,U.S. House,3,,Under Votes,115,,
Johnson,Spring Creek,U.S. House,3,,Under Votes,42,,
Johnson,Todd Creek,U.S. House,3,,Under Votes,25,,
Johnson,Western,U.S. House,3,,Under Votes,20,,