id,county,precinct,district,office,party,candidate,votes
53,Kearney,1,3,U.S. House,REP,Adrian Smith,79
54,Kearney,2,3,U.S. House,REP,Adrian Smith,311
55,Kearney,4,3,U.S. House,REP,Adrian Smith,197
56,Kearney,5,3,U.S. House,REP,Adrian Smith,186
57,Kearney,6,3,U.S. House,REP,Adrian Smith,70
58,Kearney,7,3,U.S. House,REP,Adrian Smith,396
59,Kearney,8,3,U.S. House,REP,Adrian Smith,180
60,Kearney,9,3,U.S. House,REP,Adrian Smith,69
61,Kearney,10,3,U.S. House,REP,Adrian Smith,305
62,Kearney,11,3,U.S. House,REP,Adrian Smith,430
63,Kearney,12,3,U.S. House,REP,Adrian Smith,356
64,Kearney,Early Vote,3,U.S. House,REP,Adrian Smith,337
65,Kearney,Total,3,U.S. House,REP,Adrian Smith,2916
1,Kearney,1,NA,President,REP,Donald J. Trump,77
5,Kearney,2,NA,President,REP,Donald J. Trump,295
9,Kearney,4,NA,President,REP,Donald J. Trump,200
13,Kearney,5,NA,President,REP,Donald J. Trump,170
17,Kearney,6,NA,President,REP,Donald J. Trump,58
21,Kearney,7,NA,President,REP,Donald J. Trump,341
25,Kearney,8,NA,President,REP,Donald J. Trump,169
29,Kearney,9,NA,President,REP,Donald J. Trump,63
33,Kearney,10,NA,President,REP,Donald J. Trump,245
37,Kearney,11,NA,President,REP,Donald J. Trump,355
41,Kearney,12,NA,President,REP,Donald J. Trump,283
45,Kearney,Early Vote,NA,President,REP,Donald J. Trump,275
49,Kearney,Total,NA,President,REP,Donald J. Trump,2531
2,Kearney,1,NA,President,DEM,Hillary Clinton,10
6,Kearney,2,NA,President,DEM,Hillary Clinton,61
10,Kearney,4,NA,President,DEM,Hillary Clinton,12
14,Kearney,5,NA,President,DEM,Hillary Clinton,27
18,Kearney,6,NA,President,DEM,Hillary Clinton,7
22,Kearney,7,NA,President,DEM,Hillary Clinton,60
26,Kearney,8,NA,President,DEM,Hillary Clinton,19
30,Kearney,9,NA,President,DEM,Hillary Clinton,9
34,Kearney,10,NA,President,DEM,Hillary Clinton,81
38,Kearney,11,NA,President,DEM,Hillary Clinton,84
42,Kearney,12,NA,President,DEM,Hillary Clinton,82
46,Kearney,Early Vote,NA,President,DEM,Hillary Clinton,98
50,Kearney,Total,NA,President,DEM,Hillary Clinton,550
3,Kearney,1,NA,President,LIB,Gary Johnson,4
7,Kearney,2,NA,President,LIB,Gary Johnson,12
11,Kearney,4,NA,President,LIB,Gary Johnson,2
15,Kearney,5,NA,President,LIB,Gary Johnson,12
19,Kearney,6,NA,President,LIB,Gary Johnson,8
23,Kearney,7,NA,President,LIB,Gary Johnson,19
27,Kearney,8,NA,President,LIB,Gary Johnson,5
31,Kearney,9,NA,President,LIB,Gary Johnson,4
35,Kearney,10,NA,President,LIB,Gary Johnson,14
39,Kearney,11,NA,President,LIB,Gary Johnson,21
43,Kearney,12,NA,President,LIB,Gary Johnson,23
47,Kearney,Early Vote,NA,President,LIB,Gary Johnson,24
51,Kearney,Total,NA,President,LIB,Gary Johnson,148
4,Kearney,1,NA,President,GRE,Jill Stein,0
8,Kearney,2,NA,President,GRE,Jill Stein,2
12,Kearney,4,NA,President,GRE,Jill Stein,2
16,Kearney,5,NA,President,GRE,Jill Stein,2
20,Kearney,6,NA,President,GRE,Jill Stein,2
24,Kearney,7,NA,President,GRE,Jill Stein,5
28,Kearney,8,NA,President,GRE,Jill Stein,1
32,Kearney,9,NA,President,GRE,Jill Stein,0
36,Kearney,10,NA,President,GRE,Jill Stein,3
40,Kearney,11,NA,President,GRE,Jill Stein,3
44,Kearney,12,NA,President,GRE,Jill Stein,4
48,Kearney,Early Vote,NA,President,GRE,Jill Stein,2
52,Kearney,Total,NA,President,GRE,Jill Stein,26